Time 	  T Cryostat 	 T Sample
1474511271.09	4.235	4.247
1474511301.41	4.235	4.249
1474511331.8	4.237	4.248
1474511362.09	4.235	4.248
1474511392.33	4.234	4.249
1474511422.56	4.236	4.249
1474511452.82	4.235	4.249
1474511483.1	4.237	4.248
1474511513.56	4.235	4.249
1474511543.85	4.235	4.249
1474511574.08	4.236	4.248
1474511604.36	4.235	4.249
1474511634.64	4.236	4.249
1474511665.11	4.236	4.248
1474511695.34	4.235	4.248
1474511725.61	4.236	4.249
1474511755.91	4.236	4.248
1474511786.17	4.235	4.249
1474511816.53	4.234	4.248
1474511846.86	4.236	4.249
1474511877.09	4.235	4.249
1474511907.32	4.235	4.25
1474511937.54	4.235	4.249
1474511967.83	4.236	4.248
1474511998.11	4.235	4.248
1474512028.57	4.236	4.248
1474512058.86	4.235	4.249
1474512089.32	4.236	4.249
1474512119.59	4.235	4.248
1474512149.84	4.236	4.249
1474512180.09	4.236	4.249
1474512210.37	4.235	4.25
1474512240.65	4.236	4.249
1474512271.12	4.234	4.248
1474512301.47	4.236	4.249
1474512331.76	4.235	4.248
1474512361.97	4.235	4.248
1474512392.34	4.235	4.249
1474512422.59	4.235	4.249
1474512452.81	4.235	4.249
1474512483.06	4.236	4.249
1474512513.37	4.236	4.249
1474512543.74	4.237	4.249
1474512573.94	4.234	4.248
1474512604.2	4.236	4.249
1474512634.45	4.235	4.249
1474512664.88	4.235	4.249
1474512695.16	4.236	4.249
1474512725.63	4.235	4.248
1474512755.91	4.237	4.249
1474512786.16	4.236	4.249
1474512816.45	4.236	4.248
1474512846.7	4.235	4.249
1474512877.13	4.235	4.249
1474512907.56	4.234	4.249
1474512937.89	4.235	4.25
1474512968.2	4.235	4.248
1474512998.6	4.235	4.249
1474513028.88	4.235	4.249
1474513059.11	4.234	4.248
1474513089.39	4.236	4.248
1474513119.76	4.235	4.248
1474513150.07	4.236	4.248
1474513180.33	4.235	4.247
1474513210.64	4.234	4.249
1474513240.92	4.236	4.248
1474513271.19	4.235	4.249
1474513301.65	4.234	4.249
1474513331.88	4.235	4.248
1474513362.15	4.236	4.25
1474513392.43	4.235	4.249
1474513422.71	4.235	4.248
1474513452.89	4.234	4.249
1474513483.15	4.236	4.249
1474513513.53	4.235	4.248
1474513543.79	4.234	4.248
1474513574.0	4.235	4.249
1474513604.25	4.236	4.25
1474513634.51	4.236	4.249
1474513664.74	4.234	4.249
1474513695.15	4.235	4.248
1474513725.39	4.234	4.248
1474513755.62	4.235	4.248
1474513785.87	4.235	4.249
1474513816.11	4.235	4.249
1474513846.38	4.235	4.248
1474513876.68	4.235	4.248
1474513906.94	4.235	4.249
1474513937.35	4.235	4.249
1474513967.81	4.235	4.248
1474513998.09	4.235	4.249
1474514028.58	4.235	4.249
1474514058.85	4.235	4.248
1474514089.07	4.235	4.249
1474514119.35	4.235	4.249
1474514149.62	4.236	4.249
1474514179.83	4.235	4.248
1474514210.27	4.235	4.249
1474514240.55	4.235	4.248
1474514270.79	4.235	4.249
1474514301.04	4.236	4.249
1474514331.29	4.235	4.248
1474514361.54	4.235	4.249
1474514391.82	4.236	4.248
1474514422.12	4.236	4.248
1474514452.35	4.234	4.25
1474514482.63	4.236	4.249
1474514512.88	4.235	4.248
1474514543.14	4.235	4.249
1474514573.56	4.235	4.249
1474514603.99	4.234	4.248
1474514634.21	4.235	4.249
1474514664.45	4.235	4.249
1474514694.82	4.235	4.248
1474514725.05	4.236	4.248
1474514755.29	4.235	4.249
1474514785.54	4.235	4.248
1474514815.79	4.236	4.249
1474514846.07	4.235	4.249
1474514876.34	4.235	4.249
1474514906.77	4.234	4.249
